no._x,date,day_gen_kwh,radiation_sensor-day_ins_kwh/m2/day_x,radiation_sensor-day_pr_%_x,no._y,day_gen__kwh,cuf_on_ac_capacity_%,cuf_on_dc_capacity_%,radiation_sensor-day_ins_kwh/m2/day_y,radiation_sensor-day_pr_%_y,adj_radiation_sensor-day_ins_kwh/m2/day,adj_radiation_sensor-day_pr_%,hour,day,month,year
116,2024-12-23,2548.14,5.67,53.65,116,2548.14,15.61,12.68,5.67,53.65,5.67,53.65,0,23,12,2024
117,2024-12-24,1137.26,1.76,77.06,117,1137.26,6.97,5.66,1.76,77.06,1.76,77.06,0,24,12,2024
118,2024-12-25,682.86,2.34,34.82,118,682.86,4.18,3.4,2.34,34.82,2.34,34.82,0,25,12,2024
119,2024-12-26,1578.79,3.25,58.05,119,1578.79,9.67,7.86,3.25,58.05,3.25,58.05,0,26,12,2024
120,2024-12-27,2541.57,4.24,71.54,120,2541.57,15.57,12.65,4.24,71.54,4.24,71.54,0,27,12,2024
121,2024-12-28,3129.48,5.02,74.41,121,3129.48,19.18,15.58,5.02,74.41,5.02,74.41,0,28,12,2024
122,2024-12-29,895.02,2.84,37.7,122,895.02,5.48,4.45,2.84,37.7,2.84,37.7,0,29,12,2024
123,2024-12-30,2418.87,3.91,74,123,2418.87,14.82,12.04,3.91,74,3.91,74,0,30,12,2024
124,2024-12-31,2360.81,3.88,72.61,124,2360.81,14.47,11.75,3.88,72.61,3.88,72.61,0,31,12,2024
125,2025-01-01,1033.87,4.05,30.47,125,1033.87,6.33,5.15,4.05,30.47,4.05,30.47,0,1,1,2025
126,2025-01-02,3266.34,5.38,72.55,126,3266.34,20.01,16.26,5.38,72.55,5.38,72.55,0,2,1,2025
127,2025-01-03,2510.78,3.95,75.95,127,2510.78,15.38,12.5,3.95,75.95,3.95,75.95,0,3,1,2025
128,2025-01-04,2762.98,4.4,75.08,128,2762.98,16.93,13.75,4.4,75.08,4.4,75.08,0,4,1,2025
129,2025-01-05,1125.68,4.07,33.05,129,1125.68,6.9,5.6,4.07,33.05,4.07,33.05,0,5,1,2025
130,2025-01-06,2153.9,3.53,72.81,130,2153.9,13.2,10.72,3.53,72.81,3.53,72.81,0,6,1,2025
131,2025-01-07,2619.21,4.23,73.92,131,2619.21,16.05,13.04,4.23,73.92,4.23,73.92,0,7,1,2025
132,2025-01-08,2530.97,4.06,74.51,132,2530.97,15.51,12.6,4.06,74.51,4.06,74.51,0,8,1,2025
133,2025-01-09,2421.05,3.87,74.68,133,2421.05,14.83,12.05,3.87,74.68,3.87,74.68,0,9,1,2025
134,2025-01-10,1670.25,2.58,77.31,134,1670.25,10.23,8.31,2.58,77.31,2.58,77.31,0,10,1,2025
135,2025-01-11,1771.05,2.81,75.37,135,1771.05,10.85,8.82,2.81,75.37,2.81,75.37,0,11,1,2025
136,2025-01-12,847.92,2.36,42.87,136,847.92,5.2,4.22,2.36,42.87,2.36,42.87,0,12,1,2025
137,2025-01-13,1517.78,2.45,73.89,137,1517.78,9.3,7.55,2.45,73.89,2.45,73.89,0,13,1,2025
138,2025-01-14,609.64,5.23,13.92,138,609.64,3.74,3.03,5.23,13.92,5.23,13.92,0,14,1,2025
139,2025-01-15,371.31,4.8,-,139,371.31,2.28,1.85,4.8,-,3.84,11.54,0,15,1,2025
140,2025-01-16,29501.03,4.59,-,140,29501.03,180.77,146.84,4.59,-,4.54,-,0,16,1,2025
141,2025-01-17,1500.85,3.55,50.46,141,1500.85,9.2,7.47,3.55,50.46,3.55,50.46,0,17,1,2025
142,2025-01-18,493.9,1.84,32.1,142,493.9,3.03,2.46,1.84,32.1,1.84,32.1,0,18,1,2025
143,2025-01-19,232.66,2.92,-,143,232.66,1.43,1.16,2.92,-,3.19,-,0,19,1,2025
144,2025-01-20,2815.45,4.58,73.5,144,2815.45,17.25,14.01,4.58,73.5,4.58,73.5,0,20,1,2025
145,2025-01-21,3022.94,4.92,73.41,145,3022.94,18.52,15.05,4.92,73.41,4.92,73.41,0,21,1,2025
146,2025-01-22,1952.99,3.19,73.14,146,1952.99,11.97,9.72,3.19,73.14,3.19,73.14,0,22,1,2025
147,2025-01-23,3369.24,5.72,70.41,147,3369.24,20.64,16.77,5.72,70.41,5.72,70.41,0,23,1,2025
148,2025-01-24,2584.08,5.59,55.26,148,2584.08,15.83,12.86,5.59,55.26,5.59,55.26,0,24,1,2025
149,2025-01-25,2790.16,5.2,64.1,149,2790.16,17.1,13.89,5.2,64.1,5.2,64.1,0,25,1,2025
150,2025-01-26,1277.34,5.52,27.66,150,1277.34,7.83,6.36,5.52,27.66,5.52,27.66,0,26,1,2025
151,2025-01-27,3301.53,5.48,72,151,3301.53,20.23,16.43,5.48,72,5.48,72,0,27,1,2025
152,2025-01-28,2099.99,4.11,61.01,152,2099.99,12.87,10.45,4.11,61.01,4.11,61.01,0,28,1,2025
153,2025-01-29,2502.83,4.8,62.26,153,2502.83,15.34,12.46,4.8,62.26,4.8,62.26,0,29,1,2025
154,2025-01-30,2369.29,4.7,60.26,154,2369.29,14.52,11.79,4.7,60.26,4.7,60.26,0,30,1,2025
155,2025-01-31,2867.04,5.77,59.39,155,2867.04,17.57,14.27,5.77,59.39,5.77,59.39,0,31,1,2025
156,2025-02-01,1815.7,4.35,49.84,156,1815.7,11.13,9.04,4.35,49.84,4.35,49.84,0,1,2,2025
157,2025-02-02,1246.73,5.64,26.41,157,1246.73,7.64,6.21,5.64,26.41,5.64,26.41,0,2,2,2025
158,2025-02-03,3091.82,6.13,60.23,158,3091.82,18.94,15.39,6.13,60.23,6.13,60.23,0,3,2,2025
159,2025-02-04,2834.94,5.41,62.58,159,2834.94,17.37,14.11,5.41,62.58,5.41,62.58,0,4,2,2025
160,2025-02-05,2903.34,5.71,60.7,160,2903.34,17.79,14.45,5.71,60.7,5.71,60.7,0,5,2,2025
161,2025-02-06,2813.64,5.73,58.62,161,2813.64,17.24,14.0,5.73,58.62,5.73,58.62,0,6,2,2025
162,2025-02-07,2816.03,5.48,61.38,162,2816.03,17.26,14.02,5.48,61.38,5.48,61.38,0,7,2,2025
163,2025-02-08,2239.76,4.86,55.08,163,2239.76,13.72,11.15,4.86,55.08,4.86,55.08,0,8,2,2025
164,2025-02-09,1505.59,4.94,36.42,164,1505.59,9.23,7.49,4.94,36.42,4.94,36.42,0,9,2,2025
165,2025-02-10,2731.91,5.04,64.77,165,2731.91,16.74,13.6,5.04,64.77,5.04,64.77,0,10,2,2025
166,2025-02-11,1720.36,5.59,36.76,166,1720.36,10.54,8.56,5.59,36.76,5.59,36.76,0,11,2,2025
167,2025-02-12,3321.72,5.97,66.49,167,3321.72,20.35,16.53,5.97,66.49,5.97,66.49,0,12,2,2025
168,2025-02-13,3625.08,6.22,69.66,168,3625.08,22.21,18.04,6.22,69.66,6.22,69.66,0,13,2,2025
169,2025-02-14,4005.56,6.4,74.74,169,4005.56,24.54,19.94,6.4,74.74,6.4,74.74,0,14,2,2025
170,2025-02-15,3709.56,5.96,74.33,170,3709.56,22.73,18.46,5.96,74.33,5.96,74.33,0,15,2,2025
171,2025-02-16,1311.36,5.91,26.52,171,1311.36,8.04,6.53,5.91,26.52,5.91,26.52,0,16,2,2025
172,2025-02-17,3324.52,5.56,71.38,172,3324.52,20.37,16.55,5.56,71.38,5.56,71.38,0,17,2,2025
173,2025-02-18,3616.84,5.73,75.34,173,3616.84,22.16,18.0,5.73,75.34,5.73,75.34,0,18,2,2025
174,2025-02-19,3671.9,5.83,75.21,174,3671.9,22.5,18.28,5.83,75.21,5.83,75.21,0,19,2,2025
175,2025-02-20,3733.51,5.93,75.28,175,3733.51,22.88,18.58,5.93,75.28,5.93,75.28,0,20,2,2025
176,2025-02-21,3513.72,5.58,75.18,176,3513.72,21.53,17.49,5.58,75.18,5.58,75.18,0,21,2,2025
177,2025-02-22,3253.45,5.18,74.99,177,3253.45,19.94,16.19,5.18,74.99,5.18,74.99,0,22,2,2025
178,2025-02-23,3162.55,5.8,65.18,178,3162.55,19.38,15.74,5.8,65.18,5.8,65.18,0,23,2,2025
179,2025-02-24,3541.47,5.81,72.85,179,3541.47,21.7,17.63,5.81,72.85,5.81,72.85,0,24,2,2025
180,2025-02-25,3591.04,5.77,74.31,180,3591.04,22.0,17.87,5.77,74.31,5.77,74.31,0,25,2,2025
181,2025-02-26,3659.83,5.9,74.09,181,3659.83,22.43,18.22,5.9,74.09,5.9,74.09,0,26,2,2025
182,2025-02-27,3693.66,5.95,74.21,182,3693.66,22.63,18.39,5.95,74.21,5.95,74.21,0,27,2,2025
183,2025-02-28,3178.93,5.09,74.55,183,3178.93,19.48,15.82,5.09,74.55,5.09,74.55,0,28,2,2025
184,2025-03-01,37928.28,4.83,-,184,37928.28,232.4,188.79,4.83,-,5.52,-,0,1,3,2025
185,2025-03-02,1461.31,5.77,30.23,185,1461.31,8.95,7.27,5.77,30.23,5.77,30.23,0,2,3,2025
186,2025-03-03,3308.21,5.64,70.02,186,3308.21,20.27,16.47,5.64,70.02,5.64,70.02,0,3,3,2025
187,2025-03-04,3490.5,5.61,74.38,187,3490.5,21.39,17.37,5.61,74.38,5.61,74.38,0,4,3,2025
188,2025-03-05,3158.15,5.13,73.59,188,3158.15,19.35,15.72,5.13,73.59,5.13,73.59,0,5,3,2025
189,2025-03-06,3499.23,5.66,73.85,189,3499.23,21.44,17.42,5.66,73.85,5.66,73.85,0,6,3,2025
190,2025-03-07,3572.89,5.87,72.67,190,3572.89,21.89,17.78,5.87,72.67,5.87,72.67,0,7,3,2025
191,2025-03-08,3684.47,6.15,71.56,191,3684.47,22.58,18.34,6.15,71.56,6.15,71.56,0,8,3,2025
192,2025-03-09,1442.27,6.13,28.13,192,1442.27,8.84,7.18,6.13,28.13,6.13,28.13,0,9,3,2025
193,2025-03-10,3641.92,6.29,69.22,193,3641.92,22.32,18.13,6.29,69.22,6.29,69.22,0,10,3,2025
194,2025-03-11,1677.32,2.81,71.18,194,1677.32,10.28,8.35,2.81,71.18,2.81,71.18,0,11,3,2025
195,2025-03-12,3249.25,5.38,72.09,195,3249.25,19.91,16.17,5.38,72.09,5.38,72.09,0,12,3,2025
196,2025-03-13,3828.94,6.33,72.21,196,3828.94,23.46,19.06,6.33,72.21,6.33,72.21,0,13,3,2025
197,2025-03-14,4071.51,6.9,70.52,197,4071.51,24.95,20.27,6.9,70.52,6.9,70.52,0,14,3,2025
198,2025-03-15,4225.51,7.16,70.47,198,4225.51,25.89,21.03,7.16,70.47,7.16,70.47,0,15,3,2025
199,2025-03-16,2956.07,6.51,54.27,199,2956.07,18.11,14.71,6.51,54.27,6.51,54.27,0,16,3,2025
200,2025-03-17,3614.14,6.0,71.92,200,3614.14,22.15,17.99,6.0,71.92,6.0,71.92,0,17,3,2025
201,2025-03-18,3611.0,6.22,69.35,201,3611.0,22.13,17.97,6.22,69.35,6.22,69.35,0,18,3,2025
202,2025-03-19,3682.64,6.31,69.71,202,3682.64,22.57,18.33,6.31,69.71,6.31,69.71,0,19,3,2025
203,2025-03-20,3983.35,6.78,70.23,203,3983.35,24.41,19.83,6.78,70.23,6.78,70.23,0,20,3,2025
204,2025-03-21,4119.7,6.91,71.22,204,4119.7,25.24,20.51,6.91,71.22,6.91,71.22,0,21,3,2025
205,2025-03-22,3648.11,5.95,73.21,205,3648.11,22.35,18.16,5.95,73.21,5.95,73.21,0,22,3,2025
206,2025-03-23,1403.86,5.41,31.03,206,1403.86,8.6,6.99,5.41,31.03,5.41,31.03,0,23,3,2025
207,2025-03-24,3314.05,5.54,71.47,207,3314.05,20.31,16.5,5.54,71.47,5.54,71.47,0,24,3,2025
208,2025-03-25,3787.07,6.27,72.18,208,3787.07,23.21,18.85,6.27,72.18,6.27,72.18,0,25,3,2025
209,2025-03-26,3913.78,6.38,73.27,209,3913.78,23.98,19.48,6.38,73.27,6.38,73.27,0,26,3,2025
210,2025-03-27,42832.03,6.32,-,210,42832.03,262.45,213.2,6.32,-,6.32,-,0,27,3,2025
211,2025-03-28,42823.52,5.89,-,211,42823.52,262.4,213.15,5.89,-,6.35,-,0,28,3,2025
212,2025-03-29,3833.35,6.22,73.58,212,3833.35,23.49,19.08,6.22,73.58,6.22,73.58,0,29,3,2025
213,2025-03-30,1590.34,5.93,32.02,213,1590.34,9.74,7.92,5.93,32.02,5.93,32.02,0,30,3,2025
214,2025-03-31,1611.93,5.54,34.75,214,1611.93,9.88,8.02,5.54,34.75,5.54,34.75,0,31,3,2025
215,2025-04-01,3364.1,6.14,65.42,215,3364.1,20.61,16.74,6.14,65.42,6.14,65.42,0,1,4,2025
216,2025-04-02,3415.29,5.82,70.1,216,3415.29,20.93,17.0,5.82,70.1,5.82,70.1,0,2,4,2025
217,2025-04-03,1672.76,2.76,72.48,217,1672.76,10.25,8.33,2.76,72.48,2.76,72.48,0,3,4,2025
218,2025-04-04,3757.14,6.14,73.08,218,3757.14,23.02,18.7,6.14,73.08,6.14,73.08,0,4,4,2025
