no._x,date,day_gen_kwh,radiation_sensor-day_ins_kwh/m2/day_x,radiation_sensor-day_pr_%_x,no._y,day_gen__kwh,cuf_on_ac_capacity_%,cuf_on_dc_capacity_%,radiation_sensor-day_ins_kwh/m2/day_y,radiation_sensor-day_pr_%_y,adj_radiation_sensor-day_ins_kwh/m2/day,adj_radiation_sensor-day_pr_%,hour,day,month,year
442,2025-11-14,2799.62,4.65,71.86,442,2799.62,17.15,13.94,4.65,71.86,4.65,71.86,0,14,11,2025
443,2025-11-15,1889.66,3.05,74.06,443,1889.66,11.58,9.41,3.05,74.06,3.05,74.06,0,15,11,2025
444,2025-11-16,1583.53,2.59,73.18,444,1583.53,9.7,7.88,2.59,73.18,2.59,73.18,0,16,11,2025
445,2025-11-17,732.67,1.11,78.57,445,732.67,4.49,3.65,1.11,78.57,1.11,78.57,0,17,11,2025
446,2025-11-18,1908.83,3.08,74.01,446,1908.83,11.7,9.5,3.08,74.01,3.08,74.01,0,18,11,2025
447,2025-11-19,2820.74,4.49,75.01,447,2820.74,17.28,14.04,4.49,75.01,4.49,75.01,0,19,11,2025
448,2025-11-20,1868.22,2.95,75.55,448,1868.22,11.45,9.3,2.95,75.55,2.95,75.55,0,20,11,2025
449,2025-11-21,2773.19,4.71,70.28,449,2773.19,16.99,13.8,4.71,70.28,4.71,70.28,0,21,11,2025
450,2025-11-22,2888.26,4.87,70.91,450,2888.26,17.7,14.38,4.87,70.91,4.87,70.91,0,22,11,2025
451,2025-11-23,1387.61,2.25,73.71,451,1387.61,8.5,6.91,2.25,73.71,2.25,73.71,0,23,11,2025
452,2025-11-24,1500.06,2.35,76.25,452,1500.06,9.19,7.47,2.35,76.25,2.35,76.25,0,24,11,2025
453,2025-11-25,2358.51,3.89,72.5,453,2358.51,14.45,11.74,3.89,72.5,3.89,72.5,0,25,11,2025
454,2025-11-26,2259.34,3.69,73.16,454,2259.34,13.84,11.25,3.69,73.16,3.69,73.16,0,26,11,2025
455,2025-11-27,2608.39,4.13,75.39,455,2608.39,15.98,12.98,4.13,75.39,4.13,75.39,0,27,11,2025
456,2025-11-28,2335.72,3.74,74.57,456,2335.72,14.31,11.63,3.74,74.57,3.74,74.57,0,28,11,2025
457,2025-11-29,808.32,1.32,72.93,457,808.32,4.95,4.02,1.32,72.93,1.32,72.93,0,29,11,2025
458,2025-11-30,885.05,1.47,72.12,458,885.05,5.42,4.41,1.47,72.12,1.47,72.12,0,30,11,2025
459,2025-12-01,1132.44,1.85,73.09,459,1132.44,6.94,5.64,1.85,73.09,1.85,73.09,0,1,12,2025
460,2025-12-02,346.87,0.65,63.85,460,346.87,2.13,1.73,0.65,63.85,0.65,63.85,0,2,12,2025
461,2025-12-03,693.4,1.38,60.2,461,693.4,4.25,3.45,1.38,60.2,1.38,60.2,0,3,12,2025
462,2025-12-04,71268.84,2.88,-,462,71268.84,436.7,354.74,2.88,-,1.01,-,0,4,12,2025
463,2025-12-05,1318.39,2.49,63.35,463,1318.39,8.08,6.56,2.49,63.35,2.49,63.35,0,5,12,2025
464,2025-12-06,894.14,3.15,33.94,464,894.14,5.48,4.45,3.15,33.94,3.15,33.94,0,6,12,2025
465,2025-12-07,636.24,2.79,27.27,465,636.24,3.9,3.17,2.79,27.27,2.79,27.27,0,7,12,2025
466,2025-12-08,938.7,4.33,25.91,466,938.7,5.75,4.67,4.33,25.91,4.33,25.91,0,8,12,2025
467,2025-12-09,5042.05,4.27,-,467,5042.05,30.89,25.1,4.27,-,3.56,-,0,9,12,2025
468,2025-12-10,2601.71,4.29,72.45,468,2601.71,15.94,12.95,4.29,72.45,4.29,72.45,0,10,12,2025
469,2025-12-11,2774.01,4.68,70.78,469,2774.01,17.0,13.81,4.68,70.78,4.68,70.78,0,11,12,2025
470,2025-12-12,2858.54,5.16,66.2,470,2858.54,17.52,14.23,5.16,66.2,5.16,66.2,0,12,12,2025
471,2025-12-13,2763.49,4.73,69.74,471,2763.49,16.93,13.76,4.73,69.74,4.73,69.74,0,13,12,2025
472,2025-12-14,2556.18,4.29,71.25,472,2556.18,15.66,12.72,4.29,71.25,4.29,71.25,0,14,12,2025
473,2025-12-15,2645.53,4.46,70.88,473,2645.53,16.21,13.17,4.46,70.88,4.46,70.88,0,15,12,2025
474,2025-12-16,1063.78,1.7,74.8,474,1063.78,6.52,5.29,1.7,74.8,1.7,74.8,0,16,12,2025
475,2025-12-17,2437.96,4.27,68.22,475,2437.96,14.94,12.13,4.27,68.22,4.27,68.22,0,17,12,2025
476,2025-12-18,2283.63,3.76,72.5,476,2283.63,13.99,11.37,3.76,72.5,3.76,72.5,0,18,12,2025
477,2025-12-19,2422.68,4.31,67.15,477,2422.68,14.84,12.06,4.31,67.15,4.31,67.15,0,19,12,2025
478,2025-12-20,2620.97,4.35,71.91,478,2620.97,16.06,13.05,4.35,71.91,4.35,71.91,0,20,12,2025
479,2025-12-21,2318.77,3.75,73.77,479,2318.77,14.21,11.54,3.75,73.77,3.75,73.77,0,21,12,2025
480,2025-12-22,2361.99,4.26,66.22,480,2361.99,14.47,11.76,4.26,66.22,4.26,66.22,0,22,12,2025
481,2025-12-23,2107.86,4.45,56.62,481,2107.86,12.92,10.49,4.45,56.62,4.45,56.62,0,23,12,2025
482,2025-12-24,1991.55,3.32,71.66,482,1991.55,12.2,9.91,3.32,71.66,3.32,71.66,0,24,12,2025
483,2025-12-25,1339.91,2.1,76.33,483,1339.91,8.21,6.67,2.1,76.33,2.1,76.33,0,25,12,2025
484,2025-12-26,1878.02,3.06,73.39,484,1878.02,11.51,9.35,3.06,73.39,3.06,73.39,0,26,12,2025
485,2025-12-27,2278.33,4.22,64.45,485,2278.33,13.96,11.34,4.22,64.45,4.22,64.45,0,27,12,2025
486,2025-12-28,1951.68,4.99,46.77,486,1951.68,11.96,9.71,4.99,46.77,4.99,46.77,0,28,12,2025
487,2025-12-29,2501.95,4.33,69.07,487,2501.95,15.33,12.45,4.33,69.07,4.33,69.07,0,29,12,2025
488,2025-12-30,2290.33,4.05,67.51,488,2290.33,14.03,11.4,4.05,67.51,4.05,67.51,0,30,12,2025
489,2025-12-31,1556.68,2.59,71.94,489,1556.68,9.54,7.75,2.59,71.94,2.59,71.94,0,31,12,2025
490,2026-01-01,713.02,3.13,27.26,490,713.02,4.37,3.55,3.13,27.26,3.13,27.26,0,1,1,2026
491,2026-01-02,2427.2,4.17,69.52,491,2427.2,14.87,12.08,4.17,69.52,4.17,69.52,0,2,1,2026
492,2026-01-03,2150.5,4.71,54.5,492,2150.5,13.18,10.7,4.71,54.5,4.71,54.5,0,3,1,2026
493,2026-01-04,989.7,4.08,28.98,493,989.7,6.06,4.93,4.08,28.98,4.08,28.98,0,4,1,2026
494,2026-01-05,2686.89,4.46,71.9,494,2686.89,16.46,13.37,4.46,71.9,4.46,71.9,0,5,1,2026
495,2026-01-06,2417.77,4.0,72.21,495,2417.77,14.81,12.03,4.0,72.21,4.0,72.21,0,6,1,2026
496,2026-01-07,2594.37,4.64,66.72,496,2594.37,15.9,12.91,4.64,66.72,4.64,66.72,0,7,1,2026
497,2026-01-08,3047.33,5.14,70.78,497,3047.33,18.67,15.17,5.14,70.78,5.14,70.78,0,8,1,2026
498,2026-01-09,995.45,1.65,71.94,498,995.45,6.1,4.95,1.65,71.94,1.65,71.94,0,9,1,2026
499,2026-01-10,1182.26,1.95,72.5,499,1182.26,7.24,5.88,1.95,72.5,1.95,72.5,0,10,1,2026
500,2026-01-11,702.67,1.19,70.66,500,702.67,4.31,3.5,1.19,70.66,1.19,70.66,0,11,1,2026
501,2026-01-12,964.63,1.59,72.61,501,964.63,5.91,4.8,1.59,72.61,1.59,72.61,0,12,1,2026
502,2026-01-13,2938.75,5.11,68.77,502,2938.75,18.01,14.63,5.11,68.77,5.11,68.77,0,13,1,2026
503,2026-01-14,2490.48,4.19,70.99,503,2490.48,15.26,12.4,4.19,70.99,4.19,70.99,0,14,1,2026
504,2026-01-15,1188.91,5.21,27.26,504,1188.91,7.29,5.92,5.21,27.26,5.21,27.26,0,15,1,2026
505,2026-01-16,1051.38,4.74,26.53,505,1051.38,6.44,5.23,4.74,26.53,4.74,26.53,0,16,1,2026
506,2026-01-17,1024.6,4.78,25.62,506,1024.6,6.28,5.1,4.78,25.62,4.78,25.62,0,17,1,2026
507,2026-01-18,1161.38,5.81,23.88,507,1161.38,7.12,5.78,5.81,23.88,5.81,23.88,0,18,1,2026
508,2026-01-19,3140.38,5.41,69.36,508,3140.38,19.24,15.63,5.41,69.36,5.41,69.36,0,19,1,2026
509,2026-01-20,3050.29,5.36,68.01,509,3050.29,18.69,15.18,5.36,68.01,5.36,68.01,0,20,1,2026
