datetime,zenith,elevation,azimuth,ghi,dni,dhi,poa_global,airmass,cell_temperature,dc_power
2023-10-19 15:00:00+05:30,51.293798674975584,38.706201325024416,245.83088178385512,581.2823597923573,734.8075970387405,121.57887329505684,622.414223176472,1.5965981283817465,50.117986275852324,139.9697638784761
2023-10-19 16:00:00+05:30,64.9803714737334,25.019628526266604,252.41968484786491,348.70083275036353,596.7435804535118,95.98584936751251,378.52537487163727,2.35430768425625,42.23488797840396,88.10750128501329
2023-10-19 17:00:00+05:30,79.0994648208086,10.900535179191394,257.00906109168625,100.7710098922729,278.42586446661335,47.72633162995213,112.56521156535885,5.15420933153617,33.638389511494545,27.168920748394353
2023-10-19 18:00:00+05:30,93.4516789322338,-3.451678932233799,260.52859231589656,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-19 19:00:00+05:30,107.9395623080606,-17.9395623080606,263.4748025697618,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-19 20:00:00+05:30,122.50882786187475,-32.50882786187474,266.181596231287,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-19 21:00:00+05:30,137.12367348684194,-47.12367348684193,268.99384042240644,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-19 22:00:00+05:30,151.74963982249676,-61.749639822496746,272.6022390833724,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-19 23:00:00+05:30,166.2974205175064,-76.29742051750638,280.17819115614645,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 00:00:00+05:30,176.97638722904813,-86.97638722904813,25.12591549766364,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 01:00:00+05:30,163.7933384199425,-73.7933384199425,82.01668202643054,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 02:00:00+05:30,149.2181190468238,-59.218119046823794,88.26701887221202,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 03:00:00+05:30,134.5950638936021,-44.595063893602095,91.65223276304033,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 04:00:00+05:30,119.99217590384325,-29.992175903843247,94.42507601432237,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 05:00:00+05:30,105.44309337925023,-15.443093379250225,97.16723522157213,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 06:00:00+05:30,90.98657856887391,-0.9865785688739055,100.20930115698167,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 07:00:00+05:30,76.68375961414317,13.316240385856828,103.90364819794775,141.26219148391323,356.71585419163017,58.68875910604447,157.20754918086368,4.2684618799957175,35.08134165177051,37.717024281686115
2023-10-20 08:00:00+05:30,62.646914245490464,27.353085754509532,108.80129673938643,390.971637764769,630.6739487185337,100.88049390412112,423.8016647038313,2.168757282162103,43.698331041798305,98.02603235326038
2023-10-20 09:00:00+05:30,49.11064724217296,40.88935275782704,115.96078458356828,616.4744868955322,751.7660135313348,124.17698657622884,660.0185138304939,1.5254840405909924,51.33345111441254,147.62406318906096
2023-10-20 10:00:00+05:30,36.63956010411778,53.36043989588222,127.6871339272019,789.9152770992947,811.6207255050787,138.56114482684632,840.4844602395435,1.2452714817477364,57.16656240577611,183.08561921850557
2023-10-20 11:00:00+05:30,26.77118174284734,63.22881825715266,148.8989929293623,896.603796680588,840.0407429531714,146.5492452862544,951.2019219220113,1.1194395902356207,60.74522801411899,203.7995508939323
2023-10-20 12:00:00+05:30,23.1237413984108,66.8762586015892,183.3238328108297,928.3484907979555,847.5690777355363,148.83264032887598,984.1463771518746,1.0868255045738215,61.81007530311147,209.8100920357238
2023-10-20 13:00:00+05:30,28.222653428308313,61.77734657169169,215.80070850349438,882.7821340903071,836.640092063952,145.54275287414941,936.9743625534525,1.1342684495510995,60.285357668202444,201.18211512972854
2023-10-20 14:00:00+05:30,38.75629793931891,51.24370206068109,234.8110895411025,763.3174529966004,803.673794237622,136.4822069038379,813.0528944950979,1.2812522316524295,56.27990550973755,177.83100590954922
2023-10-20 15:00:00+05:30,51.4890126061879,38.5109873938121,245.43946629393616,579.2251070306145,735.9295278196543,120.7770557849638,621.421418992365,1.6033954123189245,50.08589635854847,139.76644143626666
2023-10-20 16:00:00+05:30,65.14149729800853,24.85850270199147,252.06128712370264,346.65107540234567,597.2571574007932,95.23871411164285,377.3148849477174,2.368439495182118,42.19576191288412,87.84050430918114
2023-10-20 17:00:00+05:30,79.23691563468113,10.763084365318875,256.6674253681945,99.02666286648092,276.5050263278017,46.99462799881967,111.11426135672761,5.215784503515069,33.59149116743805,26.823928144159176
2023-10-20 18:00:00+05:30,93.57191480945822,-3.571914809458216,260.1859820529326,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 19:00:00+05:30,108.04697572175631,-18.04697572175631,263.1109244325419,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 20:00:00+05:30,122.60692692550639,-32.606926925506386,265.7678669666579,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 21:00:00+05:30,137.2162272879175,-47.21622728791748,268.4788567169346,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 22:00:00+05:30,151.843240266975,-61.843240266975,271.8623023635372,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-20 23:00:00+05:30,166.41577528352445,-76.41577528352445,278.72830326741973,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 00:00:00+05:30,177.27741542662238,-87.27741542662238,29.13518412058704,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 01:00:00+05:30,163.81712424396926,-73.81712424396925,83.31058626414017,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 02:00:00+05:30,149.22424495107472,-59.22424495107472,88.97341953944061,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 03:00:00+05:30,134.6018486223665,-44.60184862236652,92.1597203146298,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 04:00:00+05:30,120.00557484752723,-30.00557484752723,94.8419794096751,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 05:00:00+05:30,105.4669400699434,-15.466940069943401,97.54115407646867,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 06:00:00+05:30,91.02476953025764,-1.0247695302576423,100.5684016773265,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 07:00:00+05:30,76.74145917901305,13.258540820986948,104.26976287914442,140.81854102564145,357.9074655833135,58.318210267656056,157.31880808886172,4.286039151650081,35.084937818279606,37.743151624993395
2023-10-21 08:00:00+05:30,62.732056253872926,27.267943746127077,109.19593664187153,390.3390274582796,632.3824078753445,100.29564978910867,424.1383453584781,2.174953415244596,43.70921340363599,98.09929152364269
2023-10-21 09:00:00+05:30,49.236625180905136,40.763374819094864,116.40747720416067,615.602510467568,753.4249984757649,123.47092449807894,660.2836945852634,1.5293560710468013,51.34202242044383,147.67771575969735
2023-10-21 10:00:00+05:30,36.829859851410724,53.170140148589276,128.19925481303852,788.7786770980438,813.1852377443863,137.7831883303935,840.561014199809,1.2483544658171073,57.16903682147009,183.10021533346637
2023-10-21 11:00:00+05:30,27.058047097353864,62.941952902646136,149.38127669152954,895.20493407189,841.5286068175823,145.72785144606667,951.0471184783579,1.1222826767385827,60.74022437917797,203.77114221000232
2023-10-21 12:00:00+05:30,23.48348520166175,66.51651479833825,183.37734930139175,926.712224366561,848.9997683775904,147.98802121555616,983.7560782140529,1.089763015418095,61.79745986409642,209.7392947493707
2023-10-21 13:00:00+05:30,28.538951679820315,61.461048320179685,215.43794468772393,880.9516738160536,838.0212719157073,144.69272907651566,936.3663952113665,1.1376494533938741,60.26570664129976,201.06997620054622
2023-10-21 14:00:00+05:30,39.000672329091266,50.999327670908734,234.38965953270764,761.3504695765316,804.9853934189459,135.64558808444258,812.2536731356162,1.2856543267688312,56.25407267407489,177.67718295393922
2023-10-21 15:00:00+05:30,51.68201753664927,38.31798246335073,245.05162195013608,577.1908150269679,737.0693775961262,119.97608912753651,620.4475022369737,1.6101911289386324,50.05441693023658,139.5669251548744
2023-10-21 16:00:00+05:30,65.30011346412357,24.699886535876438,251.70549445021163,344.6393998865183,597.8053501449176,94.49600279318906,376.1392987575031,2.382535126974569,42.15776402343984,87.58111536135242
2023-10-21 17:00:00+05:30,79.37149454457528,10.62850545542471,256.32789631312215,97.32968853440663,274.6465110083524,46.276493494591605,109.70545052348226,5.277505847301672,33.545954873514916,26.48882480131826
2023-10-21 18:00:00+05:30,93.68887225394707,-3.688872253947071,259.84522261155047,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 19:00:00+05:30,108.15063220268708,-18.15063220268708,262.7487740357867,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 20:00:00+05:30,122.70065054990236,-32.70065054990236,265.3557997724347,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 21:00:00+05:30,137.30348941745757,-47.30348941745756,267.9653683834209,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 22:00:00+05:30,151.9298707971799,-61.92987079717987,271.1226837970218,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-21 23:00:00+05:30,166.52252733478292,-76.52252733478294,277.26326214669757,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 00:00:00+05:30,177.56122030763618,-87.56122030763619,34.022455649254766,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 01:00:00+05:30,163.8353187177326,-73.83531871773262,84.59689018445653,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 02:00:00+05:30,149.2288880281331,-59.228888028133085,89.6743104615129,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 03:00:00+05:30,134.60871054662476,-44.60871054662478,92.66318827942223,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 04:00:00+05:30,120.01992129707342,-30.01992129707342,95.25553971143358,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 05:00:00+05:30,105.49232686692898,-15.49232686692897,97.9119801503885,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 06:00:00+05:30,91.0649580355612,-1.0649580355612012,100.92435428685303,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 07:00:00+05:30,76.801537276297,13.198462723702997,104.63234283524952,140.33327704918767,359.0400396561431,57.93642596555405,157.3841259652071,4.304497083842509,35.08704905560509,37.7584900921172
2023-10-22 08:00:00+05:30,62.819893299781384,27.180106700218612,109.5861302232309,389.65590018483914,634.0670368398587,99.70281254995194,424.41945808723045,2.1813877070359093,43.71829967096155,98.16045391914372
2023-10-22 09:00:00+05:30,49.36548396339189,40.63451603660811,116.847741695394,614.6796629486552,755.0722792605761,122.75829108270227,660.4918083151376,1.5333446420363033,51.348749177329395,147.7198190878081
2023-10-22 10:00:00+05:30,37.022757161957664,52.977242838042336,128.7005952901286,787.5960905213248,814.743760312263,136.99964846857029,840.5847377572835,1.251509219482405,57.16980362625364,183.10473849444313
2023-10-22 11:00:00+05:30,27.345577308048895,62.654422691951105,149.84620349135514,893.7693434099049,843.0141593067559,144.90181621276793,950.8485627270597,1.125175194129883,60.733806560094045,203.73470207333273
2023-10-22 12:00:00+05:30,23.840439011367195,66.1595609886328,183.42305819612497,925.0520596903242,850.4313494120843,147.1397892168236,983.3350627886639,1.092736096315213,61.78385159128628,209.6629146830396
2023-10-22 13:00:00+05:30,28.852469606796227,61.14753039320377,215.08102512878412,879.1127433687326,839.4070311771237,143.84027668506064,935.7436820835128,1.1410550238897363,60.24557899367626,200.95509265617028
2023-10-22 14:00:00+05:30,39.24278797634887,50.75721202365113,233.973491435403,759.391867876771,806.3068951595166,134.80798717271102,811.4574162806817,1.2900687817344847,56.22833565862259,177.5238895018787
2023-10-22 15:00:00+05:30,51.8726873427069,38.1273126572931,244.6673710977782,575.1817786358696,738.228281959827,119.17615232586996,619.4945681279249,1.6169792770001163,50.02361571359697,139.37164802248734
2023-10-22 16:00:00+05:30,65.45611328541679,24.543886714583213,251.3523668268847,342.6679171189923,598.3904389379439,93.75796498148969,375.00072750340325,2.396579618303513,42.12096254941959,87.32980846425995
2023-10-22 17:00:00+05:30,79.50311109365546,10.496888906344541,255.99055558546937,95.68135894633629,272.85560216263883,45.57248844500751,108.34049784359897,5.339287154450986,33.50183618493332,26.164031296039344
2023-10-22 18:00:00+05:30,93.80247498309734,-3.8024749830973437,259.50641648472686,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 19:00:00+05:30,108.2504687576011,-18.250468757601098,262.3884830644472,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 20:00:00+05:30,122.78994911759709,-32.78994911759709,264.9455776673978,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 21:00:00+05:30,137.3854242567802,-47.3854242567802,267.453670250629,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 22:00:00+05:30,152.00950647441414,-62.009506474414124,270.38402159847953,0.0,0.0,0.0,0.0,,30.0,0.0
2023-10-22 23:00:00+05:30,166.61755961404424,-76.61755961404423,275.78598800416546,0.0,0.0,0.0,0.0,,30.0,0.0
