datetime,zenith,azimuth,ghi,dni,dhi,airmass,optimal_tilt,max_power,month,hour
2023-07-11 13:00:00+05:30,14.132173975118903,312.6788014228861,923.1039824992947,778.6882545832797,167.96875464008042,1.0308121856420287,0,198.6152117931141,7,13
2023-07-11 14:00:00+05:30,26.58660194815149,294.0792148235962,837.8637626684465,756.7397110423466,161.09308260815624,1.1176325989741385,0,182.57628083037486,7,14
2023-07-11 15:00:00+05:30,40.22328050689898,289.18969691140467,690.8883963907924,710.6505897002455,148.1695035165941,1.3085005425593863,0,153.81657838796187,7,15
2023-07-11 16:00:00+05:30,54.09360735833305,288.16187657649937,493.9529722378536,624.3773278471598,127.57571846080748,1.7018981571457472,0,113.08882411788868,7,16
2023-07-11 17:00:00+05:30,67.96900917524171,288.914323547146,265.9713682505564,457.2735936833356,94.14253410466188,2.650687051739816,0,62.807704617411154,7,17
2023-07-11 18:00:00+05:30,81.72824880659937,290.89976213972466,50.16032708186499,125.26167107880114,31.91039383489119,6.651763787599103,0,12.152651628452139,7,18
2023-07-12 06:00:00+05:30,88.7115353393572,67.6893107316381,0.6120806540795426,0.8673091464035161,0.5875486851784676,23.957337994604874,0,0.1487155952175038,7,6
2023-07-12 07:00:00+05:30,75.05237937812021,70.28983563036695,147.9728970598191,311.1803628685745,67.3891298119434,3.8255888999456333,0,35.47047727525497,7,7
2023-07-12 08:00:00+05:30,61.21649648870222,71.72239685473517,379.19818183453845,552.8777001167572,112.73104745220121,2.0703298312767253,0,88.19946368482903,7,8
2023-07-12 09:00:00+05:30,47.31669204088426,71.76181970829526,595.2272353337992,672.9236923115433,138.8652993481894,1.4731455613058115,0,134.34667157773256,7,9
2023-07-12 10:00:00+05:30,33.5008359289019,69.3686461980501,769.789665933375,736.6749339391076,155.41428582097183,1.198381448497046,0,169.42959172620897,7,10
2023-07-12 11:00:00+05:30,20.171183124466694,60.35941701077206,887.9272788654233,769.8161121292574,165.29820542765913,1.0648604192776348,0,192.05330889472148,7,11
2023-07-12 12:00:00+05:30,9.881499890303502,21.327838815049404,940.4966537976485,782.6493095101603,169.45132775857962,1.014704212552663,0,201.8300780613104,7,12
2023-07-12 13:00:00+05:30,14.023304855140196,312.32792404743,923.5666838931681,778.6303273489838,168.12797831113267,1.0303221772871223,0,198.7009962035742,7,13
2023-07-12 14:00:00+05:30,26.520120971829805,293.80722498506293,838.3850843643565,756.7031947407351,161.25482103080708,1.1169860253280814,0,182.67581046458,7,14
2023-07-12 15:00:00+05:30,40.17837239258325,288.98619755910863,691.3858985854043,710.6274268672934,148.3254623114226,1.3076364743528126,0,153.9163000548058,7,15
2023-07-12 16:00:00+05:30,54.06356864514391,287.9942165576709,494.3465757065218,624.3590844940356,127.71524247592731,1.7006730755000923,0,113.1727537579652,7,16
2023-07-12 17:00:00+05:30,67.95169377862295,288.7652085791275,266.1919487854422,457.2418222627043,94.24725967756274,2.6487355142379503,0,62.858028251169245,7,17
2023-07-12 18:00:00+05:30,81.7234767757339,290.7588376356074,50.18075597109127,125.16790087042601,31.934286426682867,6.648274477705059,0,12.157660760632467,7,18
2023-07-13 06:00:00+05:30,88.77225572614032,67.8181919610463,0.5519287372865287,0.7655116614256978,0.5310164786409866,24.42369311984348,0,0.13410790652314317,7,6
2023-07-13 07:00:00+05:30,75.10098483489907,70.42866808138547,147.12960916703528,309.657995774251,67.19281015014124,3.8374298112363876,0,35.272007425781624,7,7
2023-07-13 08:00:00+05:30,61.252943088015414,71.88005378372833,378.5240368987017,552.1515849095055,112.71428351074945,2.0727115445385222,0,88.05076852382345,7,8
2023-07-13 09:00:00+05:30,47.339397548926094,71.95407894904275,594.836442735234,672.5443001188079,138.9275790827428,1.4737766995506016,0,134.26593646925443,7,9
2023-07-13 10:00:00+05:30,33.50492803738021,69.62835569191327,769.6862483863443,736.4583005545287,155.52054969574192,1.1984379775963911,0,169.4094004065856,7,10
2023-07-13 11:00:00+05:30,20.141132228879698,60.767092539632586,888.0784061391461,769.6861327066322,165.43232793436152,1.0646558374386252,0,192.08167707044683,7,11
2023-07-13 12:00:00+05:30,9.76268082582284,21.803660782767793,940.8467108178482,782.5696527971791,169.60317813390589,1.0143408946779555,0,201.89458561287506,7,12
2023-07-13 13:00:00+05:30,13.912308419898352,311.94696087154017,924.0443961150321,778.581412098122,168.28929731681274,1.02982689493168,0,198.78954817994634,7,13
2023-07-13 14:00:00+05:30,26.454057308225337,293.5193775621325,838.9094586448111,756.6726186894833,161.41769550220044,1.1163457357888111,0,182.77590432882317,7,14
2023-07-13 15:00:00+05:30,40.13480992999092,288.77235323490885,691.8725787028674,710.6049045720653,148.48121475434652,1.3068001499794537,0,154.01383642359596,7,15
2023-07-13 16:00:00+05:30,54.03544979821022,287.81867420446304,494.7148856184946,624.3307305799395,127.8524430335944,1.6995283055035197,0,113.25128158399085,7,16
2023-07-13 17:00:00+05:30,67.93676669455765,288.6094806135294,266.3747140312925,457.174168957933,94.34532727531874,2.6470556302571695,0,62.89973059940325,7,17
2023-07-13 18:00:00+05:30,81.72154025438125,290.6119789811354,50.16655537115265,124.99286352870084,31.941469397743067,6.646859510644539,0,12.154316290224171,7,18
2023-07-14 06:00:00+05:30,88.83277249572997,67.95354498687351,0.4964050182104804,0.6737607525580792,0.4786470957133198,24.903333678216125,0,0.12062329804593366,7,6
2023-07-14 07:00:00+05:30,75.14887279763929,70.57408861178135,146.3000954825391,308.1541808940756,66.99934268009748,3.8491693508461564,0,35.076736741745044,7,7
2023-07-14 08:00:00+05:30,61.288207436214364,72.04481951879893,377.87293681342237,551.4438519874219,112.70105865695518,2.075021990201808,0,87.90712895486718,7,8
2023-07-14 09:00:00+05:30,47.36045396353642,72.1545821306994,594.4747530925324,672.1812869157903,138.99349479788998,1.4743626870842916,0,134.1912055419286,7,9
2023-07-14 10:00:00+05:30,33.50682004964499,69.89862933902867,769.6140006086703,736.2561034994083,155.63033465391197,1.1984641180464677,0,169.39529629852734,7,10
2023-07-14 11:00:00+05:30,20.107992746028188,61.19065185747439,888.2586669550523,769.5688297198786,165.5696714449938,1.064430659000796,0,192.1155102232432,7,11
2023-07-14 12:00:00+05:30,9.638130884510815,22.296484295440507,941.2199391086685,782.5008704648918,169.75774961754905,1.0139650071981663,0,201.96335339469263,7,12
2023-07-14 13:00:00+05:30,13.799403229229824,311.53500830065764,924.5358483685117,778.5411867935246,168.45261400074116,1.0293275403170696,0,198.88063084015616,7,13
2023-07-14 14:00:00+05:30,26.38858600848311,293.21564511830906,839.4353761806793,756.6475536129311,161.5815819552596,1.1157133707197344,0,182.87627410755016,7,14
2023-07-14 15:00:00+05:30,40.092725792338385,288.5482250587946,692.3468079587755,710.5824369184235,148.6366083768412,1.3059939351112648,0,154.1088622126914,7,15
2023-07-14 16:00:00+05:30,54.00935601849936,287.63532132215903,495.05629050018774,624.2914147647617,127.98712741667111,1.6984677169955933,0,113.32406599551973,7,16
2023-07-14 17:00:00+05:30,67.92431237792357,288.4472113928891,266.51824096493556,457.0692725967258,94.4364619215799,2.64565578217436,0,62.932488758275525,7,17
2023-07-14 18:00:00+05:30,81.72250577566913,290.45925682732536,50.116925496470216,124.73484024352248,31.931517875416187,6.6475649191717885,0,12.142425185598833,7,18
2023-07-15 06:00:00+05:30,88.89300391059162,68.09533182980078,0.44533602440052356,0.5914035844887037,0.4303133642308021,25.395993424756675,0,0.1082197478750717,7,6
2023-07-15 07:00:00+05:30,75.19597687137036,70.72604773561443,145.48537355895908,306.67064770826664,66.8090551509713,3.8607884667456034,0,34.88490709278578,7,7
2023-07-15 08:00:00+05:30,61.322240980655394,72.21663355689844,377.24567249502104,550.7551387917856,112.69150634616352,2.07725740292451,0,87.76872245984418,7,8
2023-07-15 09:00:00+05:30,47.37983557019629,72.36325770346559,594.1425363404719,671.8348318597748,139.06309515725252,1.4749026522682505,0,134.12255730139478,7,9
2023-07-15 10:00:00+05:30,33.506519908844695,70.17939422884052,769.5728254544174,736.0683100644269,155.74363842193782,1.1984599710733135,0,169.38726086194856,7,10
2023-07-15 11:00:00+05:30,20.071830858013485,61.63014345971021,888.4675043576813,769.464048767152,165.71019532585694,1.064185457843073,0,192.15470282394705,7,11
